id,neg|score,neg|p-value,neg|fdr,neg|rank,neg|lfc,neg|goodsgrnacount,neg|goodsgrnaid,neg|goodsgrnalfc
PHLPP1,0.16415,0.36955,1,7214,0.42809,2,HGLibB_36387;HGLibA_36436;,-0.58123;-0.24383;
TTF1,0.1642,0.36955,1,7215,0.24178,2,HGLibB_52103;HGLibA_52167;,-0.40557;-0.87005;
STAR,0.16422,0.36955,1,7216,-0.28259,4,HGLibB_47290;HGLibA_47347;HGLibB_47291;HGLibA_47348;,-2.097;-1.4496;-0.4847;-0.080475;
MSRB3,0.16424,0.36955,1,7217,-0.015168,3,HGLibA_30247;HGLibA_30246;HGLibA_30248;,-0.69466;-0.69132;-0.45854;
IL15RA,0.16433,0.36955,1,7218,0.29142,2,HGLibA_22983;HGLibB_22952;,-0.89898;-0.63009;
C14orf132,0.16445,0.36955,1,7219,-0.48875,4,HGLibA_05325;HGLibB_05320;HGLibA_05323;HGLibA_05324;,-0.75671;-0.86186;-1.1716;-0.22079;
hsa-mir-4311,0.16445,0.31786,1,7220,0.15762,1,HGLibA_59959;,-4.8433;
GJB2,0.1645,0.36955,1,7221,-0.031095,4,HGLibB_19135;HGLibA_19160;HGLibB_19136;HGLibA_19159;,-3.4499;-0.95272;-0.061918;-0.00027308;
LOC391322,0.16452,0.36955,1,7222,-0.25482,4,HGLibB_26894;HGLibA_26932;HGLibA_26933;HGLibB_26892;,-0.41716;-0.74741;-0.53459;-0.092482;
CCDC179,0.16454,0.36955,1,7223,0.22734,2,HGLibB_07712;HGLibA_07717;,-1.8563;-0.64725;
ACAA2,0.16476,0.36955,1,7224,-0.15824,3,HGLibB_00343;HGLibA_00345;HGLibB_00344;,-0.68443;-0.81378;-0.33809;
SLC12A8,0.16478,0.36955,1,7225,-0.020261,3,HGLibB_44324;HGLibA_44379;HGLibA_44377;,-0.93481;-0.37382;-0.55714;
PREB,0.16493,0.36955,1,7226,0.074374,3,HGLibA_38425;HGLibA_38426;HGLibA_38424;,-1.0045;-0.42635;-0.18423;
POTEG,0.16495,0.26135,1,7227,-0.4062,3,HGLibB_37687;HGLibA_37735;HGLibA_37734;,-0.4062;-1.1821;-0.1175;
CREB3L4,0.16498,0.36955,1,7228,0.16851,3,HGLibA_11102;HGLibB_11089;HGLibA_11103;,-1.3205;-0.35712;-0.004717;
SENP1,0.16499,0.36955,1,7229,-0.14827,3,HGLibA_43384;HGLibB_43332;HGLibA_43385;,-1.1133;-0.64322;-0.31262;
SULT1C2,0.16502,0.36955,1,7230,0.67122,2,HGLibA_47747;HGLibA_47746;,-1.2813;-0.62278;
FOXP1,0.16503,0.36955,1,7231,-0.098733,3,HGLibA_17931;HGLibA_17930;HGLibA_17929;,-0.89238;-0.42507;-0.6188;
ATP5I,0.16509,0.36955,1,7232,-0.44317,4,HGLibB_03665;HGLibA_03668;HGLibB_03664;HGLibA_03666;,-1.2845;-0.55543;-0.44574;-0.4406;
SLC6A16,0.16511,0.36955,1,7233,-0.06607,3,HGLibA_45306;HGLibA_45308;HGLibB_45254;,-1.2702;-0.75922;-0.28087;
P2RY4,0.16514,0.36955,1,7234,-0.20981,4,HGLibB_34842;HGLibB_34841;HGLibA_34888;HGLibA_34887;,-0.61197;-0.34475;-0.45937;-0.074877;
KIAA1147,0.16532,0.37036,1,7235,-0.042624,4,HGLibA_24701;HGLibA_24700;HGLibB_24665;HGLibB_24667;,-1.408;-0.66074;-0.060904;-0.024343;
CSF2RB,0.16534,0.37036,1,7236,0.36861,3,HGLibB_11324;HGLibB_11323;HGLibA_11336;,-0.51553;-0.66014;-0.33346;
TTC3,0.16548,0.37159,1,7237,0.15197,3,HGLibA_52101;HGLibB_52036;HGLibB_52037;,-0.85979;-0.74127;-0.0040158;
BCL2L14,0.16549,0.37159,1,7238,0.013715,3,HGLibB_04314;HGLibB_04316;HGLibA_04316;,-1.7049;-0.32678;-0.07657;
GDI2,0.1655,0.37159,1,7239,-0.14446,5,HGLibA_18885;HGLibB_18860;HGLibB_18859;HGLibA_18883;HGLibB_18858;,-0.57406;-0.53911;-0.10562;-0.1833;-0.039776;
TMEM130,0.16554,0.37159,1,7240,0.1547,3,HGLibA_49925;HGLibA_49924;HGLibB_49865;,-2.2566;-0.20906;-0.025391;
hsa-mir-554,0.16565,0.31786,1,7241,0.27371,1,HGLibA_62132;,-1.62;
FRAT2,0.16571,0.37205,1,7242,-0.076333,3,HGLibB_17957;HGLibB_17956;HGLibA_17980;,-1.0274;-0.29625;-0.17588;
NMRAL1,0.16575,0.37205,1,7243,0.18848,2,HGLibA_32193;HGLibA_32194;,-1.0916;-0.023011;
XYLB,0.16577,0.37205,1,7244,0.21072,3,HGLibB_54548;HGLibA_54615;HGLibA_54617;,-0.87041;-3.6752;-0.074541;
SCGB2B2,0.1658,0.37205,1,7245,-0.14413,3,HGLibB_42876;HGLibA_42928;HGLibA_42930;,-0.83481;-1.2257;-0.34556;
RNF40,0.16583,0.37205,1,7246,-0.025203,3,HGLibA_41679;HGLibB_41627;HGLibB_41626;,-1.4377;-0.50275;-0.24907;
ZNF827,0.16589,0.37205,1,7247,0.84669,2,HGLibB_56758;HGLibA_56824;,-1.2752;-1.038;
WWTR1,0.16594,0.37205,1,7248,-0.10117,3,HGLibB_54390;HGLibB_54389;HGLibA_54457;,-0.69253;-0.68454;-0.20366;
NFATC4,0.16604,0.37205,1,7249,-0.19722,4,HGLibB_31741;HGLibB_31743;HGLibA_31786;HGLibA_31785;,-0.57813;-0.33947;-0.90492;-0.05497;
MANBAL,0.1661,0.37205,1,7250,0.16597,2,HGLibA_28089;HGLibA_28088;,-0.60276;-0.6795;
GGA3,0.16614,0.37205,1,7251,0.1913,3,HGLibA_18985;HGLibB_18961;HGLibA_18986;,-1.5222;-0.81337;-0.30532;
TBRG4,0.16619,0.37205,1,7252,-0.057137,4,HGLibA_48637;HGLibB_48579;HGLibA_48638;HGLibB_48578;,-2.6466;-1.0663;-0.074093;-0.04018;
SF1,0.16635,0.37205,1,7253,0.23741,2,HGLibA_43687;HGLibA_43688;,-2.3107;-1.2151;
DNAJB9,0.16636,0.37205,1,7254,-0.17388,3,HGLibB_13539;HGLibA_13557;HGLibA_13559;,-0.82092;-0.37289;-0.58463;
SLC17A1,0.16648,0.37286,1,7255,-0.21599,5,HGLibB_44405;HGLibA_44460;HGLibB_44406;HGLibA_44458;HGLibA_44459;,-0.40071;-0.49961;-0.27464;-0.15733;-0.11116;
FOXD4L5,0.16657,0.37286,1,7256,-0.0021459,3,HGLibB_17830;HGLibA_17853;HGLibA_17851;,-4.1049;-0.62654;-0.14288;
GLS,0.16657,0.37286,1,7257,0.055635,3,HGLibB_19299;HGLibA_19326;HGLibA_19324;,-1.0199;-0.26391;-0.43627;
PLD5,0.16662,0.37286,1,7258,-0.14694,3,HGLibB_36999;HGLibB_37001;HGLibA_37048;,-1.4435;-0.46288;-0.93368;
RASA2,0.16666,0.37286,1,7259,0.21337,1,HGLibA_40299;,-1.561;
FBXW10,0.1667,0.37286,1,7260,0.076272,2,HGLibB_17111;HGLibB_17112;,-1.1877;-0.075133;
FAM46C,0.16681,0.37286,1,7261,-0.34449,4,HGLibA_16603;HGLibB_16578;HGLibA_16602;HGLibB_16579;,-0.74098;-0.34732;-1.1815;-0.34165;
FAM162B,0.16688,0.37286,1,7262,-0.17895,3,HGLibA_16225;HGLibB_16203;HGLibB_16202;,-1.7378;-0.63739;-0.50024;
ABO,0.16697,0.37334,1,7263,0.10691,2,HGLibA_00316;HGLibB_00317;,-1.1069;-0.86072;
PLA2G3,0.16701,0.37334,1,7264,0.049342,3,HGLibB_36850;HGLibA_36896;HGLibA_36898;,-0.9645;-0.1846;-0.13458;
KRTAP10-9,0.16708,0.37334,1,7265,-0.052645,3,HGLibB_25589;HGLibA_25625;HGLibB_25588;,-0.61877;-0.82191;-1.1216;
C19orf71,0.16712,0.37334,1,7266,-0.34516,3,HGLibA_05703;HGLibA_05702;HGLibA_05701;,-0.84364;-0.71577;-0.78213;
MANEAL,0.16719,0.37416,1,7267,-0.29655,4,HGLibB_28052;HGLibB_28054;HGLibA_28095;HGLibA_28094;,-0.64918;-0.30138;-0.51361;-0.29171;
USP17L4,0.1672,0.31976,1,7268,-0.10162,2,HGLibB_53213;HGLibA_53279;,-0.74897;-0.35826;
TIMP1,0.16723,0.37416,1,7269,0.5133,2,HGLibA_49535;HGLibB_49476;,-4.3656;-0.69997;
ADAM17,0.16727,0.37416,1,7270,0.11602,3,HGLibA_00740;HGLibB_00737;HGLibB_00739;,-1.1141;-0.29693;-0.059084;
RAB37,0.16752,0.37416,1,7271,-0.25875,4,HGLibA_39894;HGLibB_39844;HGLibB_39843;HGLibA_39896;,-0.90325;-0.45755;-0.2523;-0.26519;
ABCC12,0.16752,0.37416,1,7272,-0.17172,4,HGLibB_00168;HGLibB_00167;HGLibB_00166;HGLibA_00166;,-1.3928;-0.23327;-0.13889;-0.20455;
COPS2,0.16755,0.37416,1,7273,-0.46854,4,HGLibA_10712;HGLibA_10713;HGLibB_10701;HGLibB_10702;,-0.92727;-0.64967;-0.52149;-0.41559;
KLHDC8A,0.16756,0.37416,1,7274,-0.026323,3,HGLibA_25111;HGLibB_25076;HGLibB_25077;,-1.6041;-1.4056;-0.26071;
