TAF1
POLR1E
GTF3C5
HNRNPA1
HNRNPU
SFPQ
RBM19
METTL14
JMJD6
WDR33
ZCCHC7
PCF11
NOP58
MRPS9
EXOSC2
RANGAP1
DDX54
IGF2BP1
ZCRB1
EIF4H
SETD2
RNASE11
RPL7L1
RPL29
SNX10
PDHB
