gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc
DCAF8,0.00021422,0.0010658,0.859879,21,0.89807,6,HGLibA_12456;HGLibA_12458;HGLibB_12443;HGLibB_12442;HGLibB_12444;HGLibA_12457;,0.98354;1.8102;0.81261;0.3679;0.3161;1.0054;
USP17L1P,0.00022478,0.00079607,0.859879,22,0.86707,4,HGLibA_53238;HGLibA_53239;HGLibB_53174;HGLibA_53240;,4.5298;1.2325;0.50161;0.31767;
CDK11B,0.00022611,0.001241,0.859879,23,1.1451,6,HGLibB_08721;HGLibB_08722;HGLibA_08728;HGLibA_08729;HGLibA_08727;HGLibB_08720;,5.4298;0.98764;1.3027;1.4958;0.80061;0.014192;
RND3,0.00022901,0.0012414,0.859879,24,1.3576,5,HGLibB_41400;HGLibB_41398;HGLibA_41451;HGLibA_41450;HGLibA_41452;,1.9215;2.5844;1.1586;1.5566;0.5942;
FAM63B,0.00026869,0.001392,0.859879,28,0.79733,6,HGLibB_16638;HGLibB_16639;HGLibA_16662;HGLibB_16640;HGLibA_16661;HGLibA_16663;,0.92459;0.83132;0.61302;0.76335;1.4092;0.45473;
MACC1,0.00027106,0.0013925,0.859879,29,0.87423,4,HGLibB_27788;HGLibA_27831;HGLibB_27790;HGLibA_27829;,1.51;2.5813;1.499;0.2495;
CRYGB,0.00027432,0.0014066,0.859879,30,0.90523,6,HGLibA_11273;HGLibB_11261;HGLibB_11260;HGLibA_11272;HGLibB_11262;HGLibA_11274;,1.3664;3.1697;0.36979;0.94148;0.86899;0.33604;
CASC5,0.00032527,0.0015572,0.859879,33,0.76323,5,HGLibB_07273;HGLibB_07275;HGLibA_07281;HGLibA_07280;HGLibA_07279;,1.5538;1.0316;0.53998;0.98649;0.11718;
OR4C6,0.00039392,0.0016832,0.859879,38,1.0887,4,HGLibB_33918;HGLibA_33963;HGLibA_33961;HGLibB_33916;,1.8924;1.617;1.6059;0.57156;
ASZ1,0.00040273,0.001701,0.859879,39,0.75864,5,HGLibB_03396;HGLibA_03399;HGLibA_03398;HGLibB_03397;HGLibB_03395;,1.0447;1.7883;1.4081;0.47255;0.36704;
KRTAP10-10,0.00047625,0.0023512,0.859879,45,1.0205,6,HGLibB_25558;HGLibB_25559;HGLibA_25593;HGLibA_25594;HGLibB_25557;HGLibA_25595;,1.7358;0.58705;0.84911;1.2047;0.55228;1.1919;
RWDD1,0.00048185,0.0023617,0.859879,48,1.1374,4,HGLibA_42480;HGLibB_42427;HGLibB_42425;HGLibB_42426;,1.9239;1.2997;1.2191;1.0556;
TXNL4A,0.00048586,0.0024087,0.859879,50,1.1271,5,HGLibA_52438;HGLibB_52374;HGLibA_52439;HGLibA_52437;HGLibB_52373;,1.1593;1.5219;2.363;1.0949;0.023601;
OTP,0.00049112,0.0024361,0.859879,51,0.87945,4,HGLibA_34750;HGLibA_34751;HGLibA_34749;HGLibB_34703;,2.8324;3.244;1.5402;0.21874;
IFNL1,0.00050674,0.0025123,0.859879,53,1.4118,6,HGLibB_22687;HGLibA_22720;HGLibB_22689;HGLibA_22719;HGLibB_22688;HGLibA_22718;,1.614;1.3517;1.6899;1.1057;1.4718;0.040329;
VPS33A,0.00052516,0.0026009,0.859879,54,0.88395,6,HGLibB_53698;HGLibB_53699;HGLibA_53764;HGLibA_53765;HGLibB_53697;HGLibA_53763;,0.84491;1.6443;0.92299;1.5129;0.55663;0.10516;
GNAL,0.00053109,0.0026009,0.859879,56,1.2201,5,HGLibA_19461;HGLibA_19459;HGLibB_19435;HGLibA_19460;HGLibB_19433;,1.448;1.1992;1.2409;1.2842;0.69072;
TLN2,0.00053394,0.0026013,0.859879,57,0.79608,5,HGLibB_49576;HGLibA_49638;HGLibA_49636;HGLibB_49578;HGLibB_49577;,0.70779;1.1376;1.3223;0.88437;0.59699;
ZNF706,0.00054132,0.0026246,0.859879,60,0.9123,5,HGLibB_56529;HGLibA_56597;HGLibA_56595;HGLibB_56530;HGLibA_56596;,1.5672;1.7013;0.98989;0.83471;0.16983;
RAD54B,0.00054702,0.0026876,0.859879,61,0.73281,4,HGLibA_40100;HGLibB_40048;HGLibB_40047;HGLibA_40098;,1.6889;0.91312;1.1688;0.5525;
FIBP,0.00056312,0.0027044,0.859879,62,0.7924,6,HGLibB_17480;HGLibB_17482;HGLibB_17481;HGLibA_17503;HGLibA_17505;HGLibA_17504;,2.0396;0.69396;0.69739;1.1594;0.88742;0.27773;
ZFHX3,0.00057204,0.0027259,0.859879,63,1.1479,5,HGLibB_55107;HGLibA_55175;HGLibA_55174;HGLibB_55108;HGLibA_55173;,4.4987;1.9522;1.9825;0.34355;0.15968;
ITLN1,0.00057714,0.0027346,0.859879,64,0.77191,6,HGLibA_23822;HGLibA_23824;HGLibB_23788;HGLibB_23789;HGLibB_23790;HGLibA_23823;,1.846;1.694;0.89763;0.64619;0.33776;0.047704;
UGT2B11,0.00062001,0.0030914,0.879632,67,0.71693,5,HGLibB_52851;HGLibA_52914;HGLibB_52850;HGLibA_52915;HGLibB_52849;,0.65989;0.81641;1.503;0.77397;0.30211;
C9orf84,0.00065315,0.0031777,0.879632,69,0.74211,5,HGLibA_06763;HGLibA_06764;HGLibB_06759;HGLibB_06760;HGLibB_06758;,1.5081;2.6708;0.53379;0.85799;0.62622;
ZCCHC2,0.00066748,0.0035117,0.879632,71,0.9119,6,HGLibA_55027;HGLibA_55026;HGLibB_54960;HGLibB_54959;HGLibB_54961;HGLibA_55028;,2.0549;1.0004;1.117;0.82345;0.58808;0.379;
POLA1,0.00072242,0.0039844,0.879632,75,1.1999,5,HGLibB_37433;HGLibB_37434;HGLibA_37482;HGLibB_37435;HGLibA_37484;,1.3235;1.3467;1.4807;1.0763;0.78349;
MTERFD1,0.00072648,0.0039995,0.879632,76,0.87517,5,HGLibB_30298;HGLibA_30340;HGLibA_30339;HGLibA_30341;HGLibB_30300;,0.84071;2.6523;0.90964;1.0363;0.18785;
FN3KRP,0.00076477,0.0040611,0.879632,79,0.85044,5,HGLibB_17708;HGLibB_17710;HGLibA_17731;HGLibA_17733;HGLibB_17709;,1.2899;0.61437;1.2362;0.49256;1.0865;
YEATS2,0.00076573,0.0040611,0.879632,80,0.98843,6,HGLibB_54588;HGLibA_54655;HGLibB_54589;HGLibA_54656;HGLibA_54654;HGLibB_54587;,1.5196;0.861;1.1159;0.80201;1.6612;0.056273;
TCTE3,0.0007822,0.0041492,0.879632,83,0.87252,4,HGLibA_48860;HGLibA_48859;HGLibB_48801;HGLibA_48861;,0.85601;1.0101;0.88904;1.3406;
ZNF322,0.00078322,0.0041702,0.879632,84,0.80294,5,HGLibA_55798;HGLibA_55797;HGLibB_55730;HGLibA_55799;HGLibB_55732;,1.8628;0.83634;1.0246;0.76954;0.35559;
UBE2T,0.00078727,0.0041702,0.879632,85,0.74011,4,HGLibA_52660;HGLibA_52659;HGLibA_52661;HGLibB_52596;,2.6366;1.2246;0.87143;0.60878;
FANCD2OS,0.00081353,0.0042153,0.879632,86,1.0704,5,HGLibB_16820;HGLibA_16842;HGLibB_16818;HGLibA_16843;HGLibA_16841;,1.5606;1.1167;1.0242;1.1165;0.22931;
SLC25A52,0.00082062,0.0042715,0.879632,87,0.7574,6,HGLibA_44769;HGLibA_44767;HGLibB_44716;HGLibA_44768;HGLibB_44714;HGLibB_44715;,1.5477;1.6498;0.62879;0.88601;0.34322;0.12278;
LRFN1,0.00083275,0.0043436,0.879632,89,0.85468,6,HGLibB_27112;HGLibB_27111;HGLibA_27152;HGLibA_27151;HGLibB_27113;HGLibA_27153;,2.092;1.1815;0.60987;1.0995;0.47483;0.28023;
SLC6A7,0.00083719,0.0043609,0.879632,90,1.0417,5,HGLibA_45336;HGLibB_45284;HGLibB_45285;HGLibA_45338;HGLibB_45283;,1.1749;0.97388;1.5503;1.1096;0.050106;
KLHL36,0.00086069,0.0043961,0.879632,94,1.1942,5,HGLibA_25199;HGLibB_25164;HGLibB_25163;HGLibA_25197;HGLibB_25162;,4.3889;1.2907;1.1109;1.2776;0.7987;
TACC1,0.00086794,0.0044271,0.879632,95,1.0971,4,HGLibB_48099;HGLibB_48101;HGLibA_48160;HGLibA_48158;,1.4642;0.89842;2.3579;1.2957;
AK3,0.00091306,0.0046338,0.879632,100,0.82324,5,HGLibB_01380;HGLibB_01381;HGLibB_01379;HGLibA_01383;HGLibA_01381;,1.3865;1.0786;1.406;0.56784;0.50639;
PLD6,0.00097237,0.0048378,0.879632,102,0.81479,5,HGLibB_37003;HGLibB_37004;HGLibA_37049;HGLibB_37002;HGLibA_37050;,0.86074;0.87239;1.188;0.76883;0.27805;
SETD5,0.0010002,0.0048734,0.879632,103,0.74975,5,HGLibB_43599;HGLibA_43651;HGLibA_43652;HGLibA_43653;HGLibB_43600;,1.1469;1.2773;1.1778;0.35265;0.29109;
CRNKL1,0.0010197,0.0048935,0.879632,105,0.83611,4,HGLibA_11204;HGLibB_11192;HGLibB_11193;HGLibB_11191;,3.1125;1.5238;1.0356;0.63664;
PANK1,0.0010229,0.0048935,0.879632,106,1.1553,5,HGLibA_35097;HGLibA_35096;HGLibB_35051;HGLibB_35050;HGLibB_35052;,1.3307;1.1969;1.1326;1.1781;0.47454;
GTF2E2,0.0010802,0.0054447,0.879632,111,0.90452,6,HGLibB_20508;HGLibA_20535;HGLibB_20507;HGLibA_20534;HGLibA_20536;HGLibB_20506;,0.83483;0.97422;1.6617;1.5538;0.45762;0.69303;
ZNF140,0.0010949,0.0055131,0.879632,112,0.8044,4,HGLibA_55483;HGLibB_55417;HGLibB_55416;HGLibA_55482;,0.94256;1.1958;1.4179;0.66623;
SYCP3,0.0011384,0.0056975,0.879632,121,0.93927,4,HGLibA_47938;HGLibB_47879;HGLibA_47936;HGLibB_47877;,2.0752;2.4583;0.92722;0.95133;
PRF1,0.0011457,0.0057208,0.879632,124,0.80219,5,HGLibB_38401;HGLibB_38399;HGLibA_38448;HGLibA_38450;HGLibA_38449;,0.9306;1.6314;0.58427;1.4896;0.67378;
SRD5A2,0.0011603,0.0058422,0.879632,125,0.73393,4,HGLibB_46885;HGLibA_46943;HGLibB_46887;HGLibA_46942;,1.1238;1.412;1.1606;0.34407;
WWC2,0.0011961,0.0060051,0.879632,128,0.88332,4,HGLibB_54374;HGLibB_54376;HGLibA_54443;HGLibA_54442;,1.7395;0.78014;0.98651;2.157;
STT3A,0.0012493,0.0062154,0.879632,136,0.74929,6,HGLibA_47606;HGLibA_47605;HGLibA_47607;HGLibB_47550;HGLibB_47548;HGLibB_47549;,1.1046;0.91884;0.90496;0.59361;0.22901;0.27883;
FAM47A,0.0012914,0.0063058,0.879632,142,1.0797,5,HGLibB_16586;HGLibB_16585;HGLibA_16608;HGLibA_16609;HGLibB_16584;,1.0442;1.1152;1.5093;1.1364;0.55314;
RBKS,0.0013272,0.0064536,0.879632,143,0.81684,5,HGLibB_40412;HGLibB_40414;HGLibA_40463;HGLibA_40465;HGLibB_40413;,3.474;1.829;0.83815;0.79554;0.35022;
CLEC4C,0.0013408,0.0065591,0.879632,145,0.89518,5,HGLibA_09982;HGLibB_09974;HGLibB_09973;HGLibA_09981;HGLibB_09972;,2.264;0.9754;1.1199;0.81495;0.16675;
RGSL1,0.001369,0.006763,0.879632,149,0.84061,4,HGLibA_41118;HGLibA_41119;HGLibB_41068;HGLibB_41067;,3.616;1.7406;1.2815;0.39972;
SLC23A1,0.0014488,0.0068858,0.879632,156,0.77747,5,HGLibB_44554;HGLibA_44606;HGLibB_44552;HGLibA_44607;HGLibB_44553;,1.617;0.69443;0.86052;1.6454;0.073112;
WDR81,0.0014614,0.0068862,0.879632,159,1.0205,6,HGLibB_54122;HGLibA_54186;HGLibA_54188;HGLibB_54121;HGLibA_54187;HGLibB_54120;,1.8859;1.3589;1.4171;0.68198;0.55004;0.034097;
TMEM120B,0.0014799,0.0069437,0.879632,161,0.92863,5,HGLibA_49897;HGLibA_49898;HGLibB_49837;HGLibA_49899;HGLibB_49838;,1.1127;1.9071;2.3627;0.74456;0.026356;
FUT4,0.0015121,0.0071619,0.879632,165,0.73939,5,HGLibB_18170;HGLibA_18194;HGLibA_18195;HGLibB_18168;HGLibA_18193;,1.5024;1.0911;0.66685;0.66;0.81194;
