gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc,id
IL36RN,0.012478,0.040714,0.810524,1025,0.91815,5,HGLibB_23123;HGLibA_23155;HGLibB_23122;HGLibA_23153;HGLibA_23154;,2.0516;0.68124;2.699;1.1551;0.55855;,26525
hsa-mir-4441,0.01653,0.041031,0.810524,1314,1.3961,3,HGLibA_60165;HGLibA_60166;HGLibA_60167;,1.6545;1.3961;0.23653;,
hsa-mir-579,0.014149,0.041064,0.810524,1145,1.2522,4,HGLibA_62414;HGLibA_62416;HGLibA_62415;HGLibA_62413;,1.7487;1.7023;0.80204;0.27353;,693164
LRRC41,0.012606,0.041509,0.810524,1028,0.90244,5,HGLibB_27317;HGLibA_27357;HGLibB_27315;HGLibA_27356;HGLibA_27355;,0.77816;1.1606;1.0799;0.93808;0.8668;,10489
KLHL3,0.012631,0.041509,0.810524,1032,1.0255,5,HGLibB_25141;HGLibA_25176;HGLibB_25142;HGLibA_25177;HGLibA_25178;,1.153;0.96976;0.87023;2.3708;1.0813;,26249
TLN2,0.01265,0.041509,0.810524,1033,0.71929,5,HGLibA_49638;HGLibB_49576;HGLibB_49578;HGLibB_49577;HGLibA_49636;,1.1039;0.75158;0.83035;0.687;0.56623;,83660
GPRC6A,0.012675,0.041509,0.810524,1037,0.7238,5,HGLibB_20110;HGLibB_20109;HGLibA_20136;HGLibA_20137;HGLibA_20138;,0.88281;0.56479;2.8745;0.88281;0.19944;,222545
CBFB,0.012734,0.041639,0.810524,1042,0.78256,5,HGLibB_07386;HGLibB_07385;HGLibA_07392;HGLibA_07390;HGLibB_07384;,1.0718;3.4434;0.7727;0.79241;0.042845;,865
SPAG1,0.012778,0.04164,0.810524,1047,0.79213,5,HGLibA_46343;HGLibA_46342;HGLibB_46286;HGLibB_46285;HGLibA_46341;,1.2708;1.095;0.48925;0.36866;1.2513;,6674
GPATCH4,0.012968,0.041918,0.810524,1059,0.91615,5,HGLibB_19718;HGLibB_19719;HGLibB_19720;HGLibA_19747;HGLibA_19746;,1.4379;1.18;1.0243;0.80801;0.63524;,54865
PCF11,0.013178,0.042569,0.810524,1072,0.91696,5,HGLibB_35541;HGLibB_35542;HGLibA_35588;HGLibB_35543;HGLibA_35590;,0.7149;1.1232;1.119;0.51855;1.1353;,51585
RGPD4,0.012961,0.04301,0.810524,1058,0.9602,4,HGLibB_40984;HGLibA_41034;HGLibA_41033;HGLibB_40983;,1.7359;1.6611;0.9602;0.057345;,285190
LOC649330,0.053222,0.043168,0.810524,3275,0.96533,1,HGLibB_26941;,0.96533;,
ARMCX6,0.013441,0.043293,0.810524,1088,0.7282,5,HGLibB_03054;HGLibB_03053;HGLibA_03055;HGLibB_03055;HGLibA_03057;,0.73929;0.92353;1.6739;0.71711;0.36516;,54470
CRYGB,0.013498,0.043293,0.810524,1094,0.89048,5,HGLibA_11272;HGLibA_11273;HGLibA_11274;HGLibB_11261;HGLibB_11262;,1.5536;1.1721;0.60887;2.4046;0.13982;,1419
TNFRSF11A,0.013515,0.043293,0.810524,1096,-1.0503,1,HGLibA_50745;,3.0571;,8792
ANKRD30A,0.013524,0.043293,0.810524,1097,0.70384,4,HGLibA_02059;HGLibA_02061;HGLibB_02059;HGLibA_02060;,1.1554;1.3019;1.887;0.25231;,91074
