gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc,id
VPS33A,0.00078947,0.0030586,0.548391,97,1.1062,6,HGLibB_53697;HGLibB_53698;HGLibB_53699;HGLibA_53765;HGLibA_53764;HGLibA_53763;,1.3405;0.6238;1.7405;1.1297;1.0826;0.31185;,65082
hsa-mir-4504,0.0015449,0.0030809,0.548391,181,1.3585,4,HGLibA_60442;HGLibA_60444;HGLibA_60441;HGLibA_60443;,1.6082;1.5532;1.1637;0.77636;,100616261
NCKAP1,0.00079274,0.0030859,0.548391,98,0.79557,6,HGLibA_31312;HGLibB_31269;HGLibA_31311;HGLibB_31268;HGLibB_31270;HGLibA_31310;,1.3149;0.77021;0.82092;0.38702;0.89308;0.33017;,10787
KIF20B,0.00079773,0.0030859,0.548391,99,1.0931,5,HGLibB_24861;HGLibA_24894;HGLibA_24895;HGLibB_24862;HGLibA_24896;,1.5347;1.3339;1.1353;1.0509;0.88759;,9585
C4orf36,0.00088133,0.0032479,0.548391,109,1.4776,5,HGLibB_06323;HGLibB_06322;HGLibA_06327;HGLibB_06321;HGLibA_06326;,1.9952;1.0682;1.887;3.5183;0.45917;,132989
RASA3,0.00090029,0.003294,0.548391,110,0.73783,5,HGLibB_40251;HGLibB_40252;HGLibA_40302;HGLibA_40303;HGLibB_40250;,1.0953;2.3954;1.4929;0.33316;0.38035;,22821
REXO1L1,0.000943,0.0034588,0.548391,114,0.88581,5,HGLibB_40843;HGLibA_40894;HGLibB_40841;HGLibB_40842;HGLibA_40893;,3.005;2.0194;0.80868;0.96295;0.14805;,254958
ALX1,0.00094731,0.0034738,0.548391,116,0.84958,5,HGLibA_01732;HGLibA_01733;HGLibB_01732;HGLibB_01731;HGLibA_01734;,1.1589;1.0691;1.0652;0.63401;0.51887;,8092
KRT34,0.0010027,0.0036239,0.548391,121,0.95953,5,HGLibB_25450;HGLibA_25487;HGLibB_25451;HGLibA_25486;HGLibB_25449;,1.6913;1.3236;1.0997;0.81935;0.31687;,3885
POLR3B,0.0010081,0.0036801,0.548391,123,0.70603,5,HGLibB_37563;HGLibB_37562;HGLibA_37613;HGLibA_37612;HGLibA_37611;,1.2579;0.90738;0.7071;0.70495;0.59773;,55703
PGBD3,0.0010094,0.0036801,0.548391,124,1.0015,6,HGLibA_36221;HGLibB_36175;HGLibB_36176;HGLibB_36174;HGLibA_36223;HGLibA_36222;,1.3574;0.91723;1.0858;0.47217;1.4903;0.05839;,267004
IL17RC,0.0010182,0.0036805,0.548391,128,1.0558,5,HGLibA_23009;HGLibB_22978;HGLibB_22980;HGLibB_22979;HGLibA_23010;,1.9834;0.65367;2.574;1.0602;1.0515;,84818
hsa-mir-8080,0.0019247,0.0039429,0.548391,221,1.0199,4,HGLibA_64163;HGLibA_64164;HGLibA_64162;HGLibA_64161;,2.5931;0.88019;1.1597;0.75316;,102465877
CD300C,0.0010378,0.0039694,0.548391,131,0.83901,5,HGLibB_08328;HGLibA_08337;HGLibB_08330;HGLibA_08336;HGLibB_08329;,1.7558;1.3724;0.89045;0.78758;0.30146;,10871
MORF4L2,0.0010939,0.0040949,0.548391,136,0.82861,6,HGLibB_29622;HGLibA_29664;HGLibA_29663;HGLibB_29623;HGLibA_29662;HGLibB_29621;,1.0645;2.8568;1.0558;0.47495;0.60143;0.34129;,9643
SLC35A4,0.0010966,0.0040949,0.548391,137,0.70004,5,HGLibB_44902;HGLibB_44904;HGLibA_44957;HGLibA_44955;HGLibB_44903;,0.76259;0.7105;0.82658;0.68957;0.30906;,113829
NCBP1,0.0011117,0.0041337,0.548391,138,0.90794,5,HGLibB_31239;HGLibA_31280;HGLibB_31238;HGLibB_31240;HGLibA_31281;,1.7705;1.1184;0.81359;0.84724;0.96864;,4686
GPR152,0.0011158,0.0041583,0.548391,139,1.135,5,HGLibB_19907;HGLibB_19909;HGLibA_19935;HGLibB_19908;HGLibA_19936;,0.98647;1.4484;1.5679;1.2835;0.69844;,390212
PBRM1,0.0011266,0.004193,0.548391,140,0.70273,5,HGLibA_35341;HGLibB_35293;HGLibA_35339;HGLibA_35340;HGLibB_35292;,1.982;0.70848;0.69698;0.75808;0.6499;,55193
ZNF706,0.0011349,0.0042158,0.548391,142,0.73831,6,HGLibB_56530;HGLibA_56597;HGLibB_56529;HGLibB_56528;HGLibA_56595;HGLibA_56596;,1.3515;0.90339;1.1504;0.35064;0.57323;0.48717;,51123
FADS6,0.0011927,0.0042724,0.548391,147,0.72367,4,HGLibA_15943;HGLibB_15920;HGLibA_15944;HGLibB_15922;,1.9273;0.84907;1.5299;0.59827;,3992
WDR33,0.0012023,0.0043335,0.548391,148,0.91724,5,HGLibB_54001;HGLibB_54000;HGLibA_54067;HGLibA_54066;HGLibB_54002;,1.8618;1.1445;0.68997;1.9655;0.56963;,55339
PPP1R9A,0.00121,0.0043335,0.548391,150,0.93506,5,HGLibB_38080;HGLibB_38078;HGLibB_38079;HGLibA_38127;HGLibA_38128;,1.08;1.152;0.79016;1.495;0.039505;,55607
MEP1B,0.0012708,0.0044609,0.548391,153,0.75073,4,HGLibA_28897;HGLibB_28858;HGLibA_28898;HGLibB_28856;,2.6149;0.78912;1.2315;0.71234;,4225
SERAC1,0.0012712,0.0044609,0.548391,154,0.79192,6,HGLibB_43409;HGLibA_43464;HGLibB_43411;HGLibA_43463;HGLibB_43410;HGLibA_43462;,2.2328;1.278;0.77849;0.80534;0.34578;0.056338;,84947
NRG1,0.0012921,0.0045015,0.548391,156,0.75265,5,HGLibA_32677;HGLibA_32676;HGLibB_32633;HGLibB_32632;HGLibA_32675;,2.2366;0.93925;1.1055;0.52249;0.56605;,3084
PLA1A,0.001295,0.0045015,0.548391,157,0.77059,6,HGLibA_36865;HGLibA_36864;HGLibB_36818;HGLibB_36816;HGLibA_36863;HGLibB_36817;,1.12;0.86058;0.84757;0.69362;0.4433;0.16856;,51365
RPAIN,0.0013227,0.0045672,0.548391,160,0.75916,5,HGLibB_41758;HGLibB_41759;HGLibB_41760;HGLibA_41810;HGLibA_41811;,1.3008;0.43321;1.3573;1.0676;0.45068;,84268
SETD3,0.0013752,0.0046767,0.548391,164,1.0189,5,HGLibB_43592;HGLibA_43646;HGLibB_43594;HGLibA_43645;HGLibB_43593;,1.5357;1.4607;1.0434;0.99446;0.23552;,84193
CACNG7,0.0013825,0.0046772,0.548391,167,0.75068,5,HGLibB_06943;HGLibB_06942;HGLibA_06946;HGLibA_06947;HGLibB_06941;,1.1764;0.80778;1.7599;0.69358;0.41464;,59284
SMG6,0.0013826,0.0046772,0.548391,168,0.71146,6,HGLibA_45703;HGLibB_45648;HGLibB_45649;HGLibA_45704;HGLibB_45650;HGLibA_45705;,1.3399;0.66275;0.59742;0.76017;0.84767;0.24483;,23293
hsa-mir-3150a,0.0022336,0.0047013,0.548391,255,0.90689,3,HGLibA_58656;HGLibA_58654;HGLibA_58657;,1.2533;3.0166;0.5605;,100422964
EXOSC2,0.0014256,0.0047894,0.548391,171,0.78267,6,HGLibB_15753;HGLibA_15775;HGLibA_15774;HGLibB_15752;HGLibA_15776;HGLibB_15754;,0.90805;0.98428;0.97709;0.65729;0.58358;0.2329;,23404
PPP2R5C,0.0014526,0.0048159,0.548391,173,1.1109,4,HGLibB_38126;HGLibB_38127;HGLibA_38176;HGLibA_38175;,1.2293;1.1811;1.2869;1.0406;,5527
hsa-mir-4753,0.0024206,0.0049003,0.548391,275,0.88654,4,HGLibA_61109;HGLibA_61108;HGLibA_61111;HGLibA_61110;,1.7365;1.4585;0.31455;0.11176;,100616224
MLX,0.001484,0.0049122,0.548391,176,0.79644,4,HGLibA_29439;HGLibA_29438;HGLibA_29437;HGLibB_29397;,1.6301;1.235;1.1689;0.42402;,51085
ETHE1,0.0015245,0.0050071,0.548391,177,0.78718,6,HGLibB_15607;HGLibA_15628;HGLibA_15630;HGLibA_15629;HGLibB_15608;HGLibB_15606;,1.0274;4.2081;0.80881;0.76555;0.38028;0.31357;,23474
PDIA2,0.0015412,0.0050381,0.548391,179,0.71069,5,HGLibA_35874;HGLibB_35828;HGLibB_35826;HGLibA_35873;HGLibA_35875;,0.68346;0.27727;0.73792;0.93788;0.88266;,64714
RPP38,0.0015421,0.0050381,0.548391,180,1.4885,5,HGLibB_41985;HGLibB_41986;HGLibA_42039;HGLibA_42037;HGLibA_42038;,1.9542;1.0551;1.9219;3.0701;0.50524;,10557
SHE,0.0015693,0.0050609,0.548391,183,0.85087,6,HGLibA_44020;HGLibB_43967;HGLibB_43969;HGLibA_44022;HGLibB_43968;HGLibA_44021;,1.5854;0.96782;3.3626;0.73393;0.034829;0.036133;,126669
ZNF234,0.0015784,0.005086,0.548391,185,1.2375,6,HGLibB_55579;HGLibB_55577;HGLibA_55646;HGLibA_55644;HGLibB_55578;HGLibA_55645;,1.1449;1.2781;1.1968;1.6519;1.4331;0.45337;,10780
HNRNPU,0.0015844,0.005086,0.548391,187,1.101,5,HGLibA_21847;HGLibB_21817;HGLibB_21816;HGLibA_21845;HGLibB_21818;,2.0709;1.4962;1.3535;0.84843;0.398;,3192
CDK11B,0.0015979,0.0050865,0.548391,189,1.0325,6,HGLibA_08728;HGLibA_08729;HGLibB_08721;HGLibB_08722;HGLibB_08720;HGLibA_08727;,1.8664;1.2868;3.8553;0.77827;0.51868;0.67766;,984
HARS,0.0016319,0.0051832,0.548391,194,1.0232,5,HGLibB_20828;HGLibB_20827;HGLibB_20829;HGLibA_20856;HGLibA_20855;,2.8884;0.66448;1.5137;1.3819;0.53833;,3035
C6orf163,0.0016385,0.0051837,0.548391,195,0.80989,5,HGLibB_06452;HGLibA_06456;HGLibB_06450;HGLibA_06454;HGLibA_06455;,0.80153;1.5187;1.958;0.81825;0.62819;,206412
RABGAP1L,0.0016399,0.0051837,0.548391,196,0.75432,5,HGLibB_39962;HGLibB_39960;HGLibA_40012;HGLibA_40013;HGLibB_39961;,1.267;0.94555;2.2554;0.56309;0.34192;,9910
AZGP1,0.0016628,0.0053019,0.548391,198,1.0083,5,HGLibA_03930;HGLibB_03928;HGLibB_03927;HGLibA_03929;HGLibA_03931;,1.4044;2.0441;0.78131;0.86684;1.1499;,563
hsa-mir-3148,0.0025909,0.0055323,0.548391,292,1.0518,4,HGLibA_58648;HGLibA_58651;HGLibA_58650;HGLibA_58649;,1.1975;0.90597;1.4155;0.46354;,100422876
PIEZO1,0.0016846,0.0056204,0.548391,200,1.0372,4,HGLibB_36487;HGLibA_36535;HGLibA_36534;HGLibB_36488;,1.5749;1.5982;1.0151;1.0593;,9780
SYNPR,0.0017093,0.0056469,0.548391,202,0.70536,6,HGLibB_47968;HGLibA_48028;HGLibA_48027;HGLibA_48026;HGLibB_47969;HGLibB_47967;,0.79395;0.61677;1.3657;1.2172;0.08908;0.016601;,132204
TSPY2,0.0028368,0.005666,0.548391,319,2.2137,2,HGLibA_51966;HGLibA_51967;,2.177;2.2505;,64591
ZNF514,0.0017755,0.0058308,0.548391,206,0.85547,4,HGLibB_56073;HGLibB_56072;HGLibA_56141;HGLibA_56140;,1.6067;1.3658;1.2516;0.45934;,84874
OR4C6,0.001863,0.0063533,0.548391,211,0.72103,6,HGLibB_33918;HGLibB_33916;HGLibB_33917;HGLibA_33963;HGLibA_33961;HGLibA_33962;,1.1108;0.57537;0.52278;0.99287;0.86668;0.11663;,219432
MAGED1,0.0019121,0.0064108,0.548391,217,0.74627,6,HGLibA_27969;HGLibB_27926;HGLibB_27927;HGLibA_27968;HGLibA_27967;HGLibB_27928;,2.0025;1.0624;0.43016;0.3586;1.4011;0.34215;,9500
CCDC59,0.0019184,0.0064112,0.548391,219,0.78613,6,HGLibB_07801;HGLibA_07809;HGLibA_07807;HGLibB_07802;HGLibB_07803;HGLibA_07808;,1.2007;0.5663;2.1115;0.3621;1.006;0.35718;,29080
FCGR1A,0.0027163,0.0064162,0.548391,305,0.72332,5,HGLibB_17161;HGLibB_17160;HGLibA_17183;HGLibA_17182;HGLibA_17184;,0.72332;1.6603;0.59162;1.8011;0.25707;,2209
OIP5,0.0019654,0.0064719,0.548391,225,0.72246,4,HGLibA_33332;HGLibA_33333;HGLibB_33287;HGLibB_33288;,1.4732;0.78074;0.66417;0.98507;,11339
hsa-mir-6125,0.0032561,0.0065947,0.548391,358,1.8753,4,HGLibA_62646;HGLibA_62648;HGLibA_62647;HGLibA_62649;,2.3207;1.4298;2.4238;0.73305;,102465133
JMJD6,0.0020187,0.0066184,0.548391,229,0.83655,6,HGLibB_23925;HGLibB_23924;HGLibB_23923;HGLibA_23959;HGLibA_23958;HGLibA_23957;,1.7609;1.0888;0.74641;0.9267;0.30139;0.4759;,23210
NOP58,0.0020332,0.0067197,0.548391,230,0.9437,4,HGLibA_32317;HGLibA_32316;HGLibB_32273;HGLibB_32272;,3.2225;2.2841;1.0026;0.88477;,51602
NUDT4,0.002063,0.0068735,0.548391,233,0.82684,5,HGLibA_32979;HGLibB_32934;HGLibA_32978;HGLibA_32980;HGLibB_32935;,0.90629;1.8267;0.72243;1.5742;0.74739;,11163
RASSF6,0.0020701,0.0068735,0.548391,234,0.88306,5,HGLibB_40338;HGLibA_40388;HGLibB_40337;HGLibA_40389;HGLibB_40339;,3.8571;1.2432;0.9867;0.77942;0.14927;,166824
CCDC138,0.0020748,0.0069109,0.548391,235,0.73384,5,HGLibA_07609;HGLibA_07611;HGLibB_07604;HGLibB_07605;HGLibA_07610;,2.0603;1.3916;1.1055;0.36213;0.1293;,165055
LYRM5,0.0021305,0.0070022,0.548391,238,0.80636,5,HGLibB_27714;HGLibA_27755;HGLibB_27715;HGLibA_27756;HGLibA_27754;,1.3321;1.1745;1.5138;0.43826;0.42496;,144363
SFPQ,0.0021328,0.0070022,0.548391,239,0.79506,5,HGLibA_43729;HGLibA_43730;HGLibB_43677;HGLibA_43731;HGLibB_43678;,1.3341;2.2271;0.63253;0.7994;0.79072;,6421
MKI67IP,0.0021335,0.0070022,0.548391,240,1.0843,4,HGLibA_29327;HGLibA_29326;HGLibA_29328;HGLibB_29287;,4.5099;3.8089;1.7554;0.41328;,84365
MCF2L,0.0021453,0.0070022,0.548391,242,1.151,6,HGLibB_28540;HGLibB_28539;HGLibA_28581;HGLibA_28580;HGLibB_28538;HGLibA_28579;,1.3095;0.99241;1.6496;1.319;0.80187;0.13053;,23263
MYCL,0.0021692,0.0070642,0.548391,246,1.1166,5,HGLibB_30632;HGLibA_30672;HGLibB_30630;HGLibA_30674;HGLibA_30673;,3.7471;1.536;0.69088;0.69734;1.8393;,4610
TMTC2,0.0022089,0.0071272,0.548391,253,0.72324,6,HGLibB_50610;HGLibB_50611;HGLibA_50674;HGLibB_50612;HGLibA_50673;HGLibA_50672;,1.6288;0.96976;0.77587;0.30443;0.67061;0.20502;,160335
hsa-mir-580,0.0036326,0.0071532,0.548391,394,0.9051,4,HGLibA_62417;HGLibA_62420;HGLibA_62418;HGLibA_62419;,2.513;1.324;0.48617;0.12413;,693165
GTF3C5,0.0022383,0.007192,0.548391,257,0.77194,4,HGLibB_20565;HGLibB_20564;HGLibB_20563;HGLibA_20592;,1.096;1.1419;1.0581;0.48576;,9328
IST1,0.0022664,0.0072294,0.548391,258,0.81753,5,HGLibA_23688;HGLibB_23654;HGLibA_23687;HGLibB_23656;HGLibB_23655;,1.5239;2.0865;1.2027;0.4324;0.1899;,9798
hsa-mir-4708,0.0036816,0.0072308,0.548391,398,1.0024,3,HGLibA_60934;HGLibA_60933;HGLibA_60932;,4.0796;1.2777;0.7272;,100616176
TACC1,0.0023027,0.0073257,0.548391,262,1.1482,5,HGLibB_48101;HGLibA_48160;HGLibA_48158;HGLibB_48099;HGLibA_48159;,1.0773;2.3965;2.0729;1.2192;0.025344;,6867
MAPKAP1,0.00234,0.0074014,0.548391,266,1.2683,6,HGLibB_28257;HGLibB_28256;HGLibA_28298;HGLibA_28297;HGLibA_28299;HGLibB_28258;,2.5485;1.9496;1.067;1.4695;0.042448;0.0096125;,79109
HOXC9,0.0023768,0.0074019,0.548391,270,0.94894,5,HGLibB_21950;HGLibB_21952;HGLibA_21980;HGLibA_21979;HGLibB_21951;,1.7665;0.86151;1.0364;1.7827;0.46617;,3225
DUOX1,0.0024005,0.0075005,0.548391,273,0.90146,5,HGLibB_14074;HGLibB_14076;HGLibA_14097;HGLibA_14096;HGLibB_14075;,1.242;1.0368;0.82549;0.97743;0.20781;,53905
MAP3K19,0.0024095,0.0075748,0.548391,274,0.70827,6,HGLibA_28178;HGLibA_28179;HGLibB_28137;HGLibB_28136;HGLibA_28177;HGLibB_28138;,1.236;0.90742;0.50912;0.30795;1.0855;0.04277;,80122
CYP4F12,0.0024324,0.0076136,0.548391,277,0.8934,5,HGLibA_12185;HGLibB_12170;HGLibB_12172;HGLibB_12171;HGLibA_12184;,1.1045;1.3486;0.89724;0.88956;0.24744;,66002
NOLC1,0.0024758,0.007652,0.548391,280,0.70148,4,HGLibA_32283;HGLibA_32282;HGLibA_32284;HGLibB_32241;,0.97626;1.0047;1.5278;0.4267;,9221
ITGA2,0.0024908,0.0076894,0.548391,282,0.78998,4,HGLibA_23723;HGLibA_23725;HGLibB_23691;HGLibB_23692;,1.9291;0.85985;0.97575;0.72011;,3673
CRCP,0.002502,0.0077314,0.548391,284,1.2515,5,HGLibB_11069;HGLibA_11082;HGLibB_11068;HGLibB_11070;HGLibA_11081;,3.0404;1.5451;0.95797;0.91857;1.946;,27297
MLYCD,0.002529,0.0077318,0.548391,286,0.99373,6,HGLibB_29407;HGLibA_29448;HGLibB_29406;HGLibA_29447;HGLibA_29446;HGLibB_29405;,1.0035;1.459;0.98398;1.7574;0.44147;0.24798;,23417
ARPC2,0.0025563,0.007788,0.548391,288,0.84839,6,HGLibB_03078;HGLibA_03079;HGLibA_03080;HGLibB_03077;HGLibA_03081;HGLibB_03079;,0.93436;0.92019;0.77658;0.50945;1.6698;0.45798;,10109
TGOLN2,0.0026114,0.0078601,0.548391,297,0.79454,5,HGLibB_49216;HGLibA_49274;HGLibB_49215;HGLibA_49273;HGLibA_49275;,1.0983;1.0399;0.54922;1.3444;0.30667;,10618
ZFHX3,0.0026316,0.0078605,0.548391,300,1.1718,6,HGLibB_55107;HGLibA_55174;HGLibA_55175;HGLibB_55106;HGLibA_55173;HGLibB_55108;,3.355;2.2398;1.9711;0.37247;0.36974;0.29914;,463
hsa-mir-760,0.0039633,0.0078938,0.54895,417,1.5674,3,HGLibA_63899;HGLibA_63901;HGLibA_63902;,1.8;1.3348;2.3293;,100126348
PLEKHG5,0.0027386,0.0081046,0.550345,307,0.71428,6,HGLibA_37116;HGLibB_37069;HGLibB_37068;HGLibA_37115;HGLibA_37117;HGLibB_37070;,0.96969;0.49012;0.31853;0.93844;1.0815;0.15327;,8718
DARS,0.0027706,0.0082178,0.550345,308,0.92849,5,HGLibA_12340;HGLibB_12326;HGLibB_12328;HGLibA_12341;HGLibA_12339;,1.2192;0.95377;1.3796;0.90321;0.3789;,1615
CCDC153,0.0027955,0.0082183,0.550345,312,1.055,4,HGLibA_07652;HGLibB_07646;HGLibA_07653;HGLibB_07645;,4.0477;1.1974;1.0112;1.0988;,283152
REV3L,0.0028783,0.0087056,0.563869,321,0.98477,6,HGLibA_40887;HGLibB_40836;HGLibB_40837;HGLibB_40835;HGLibA_40886;HGLibA_40888;,2.1935;1.3024;1.3077;0.63464;0.66714;0.16802;,5980
MMAA,0.0029165,0.0087061,0.563869,323,0.99598,5,HGLibA_29450;HGLibA_29451;HGLibB_29409;HGLibA_29449;HGLibB_29410;,1.4008;1.54;0.93809;1.0539;0.013549;,166785
PSG4,0.0029864,0.0089402,0.568129,330,0.86067,5,HGLibA_39046;HGLibA_39047;HGLibB_38996;HGLibB_38997;HGLibA_39045;,2.6705;1.9585;0.54722;1.1282;0.59316;,5672
PRSS2,0.0030636,0.009203,0.568129,339,0.86694,5,HGLibA_38908;HGLibA_38907;HGLibB_38858;HGLibB_38859;HGLibB_38860;,5.1836;2.3677;1.1405;0.59341;0.28347;,5645
DYRK1A,0.0030647,0.009203,0.568129,340,0.79895,4,HGLibB_14250;HGLibB_14248;HGLibA_14272;HGLibA_14271;,0.81098;1.0139;1.7192;0.78692;,1859
MYO1H,0.0030818,0.0092432,0.568129,344,0.70326,5,HGLibB_30799;HGLibA_30842;HGLibB_30798;HGLibA_30840;HGLibB_30800;,1.0367;0.92917;0.40711;1.1521;0.47735;,283446
PFDN2,0.0031479,0.0094412,0.571442,347,0.71149,6,HGLibA_36140;HGLibB_36094;HGLibB_36093;HGLibA_36142;HGLibA_36141;HGLibB_36095;,3.9152;1.2109;0.65463;0.76836;0.19785;0.37518;,5202
DMP1,0.0032366,0.0095864,0.571442,355,0.73012,5,HGLibB_13393;HGLibB_13391;HGLibA_13411;HGLibA_13410;HGLibB_13392;,1.6573;0.56059;0.9442;0.89965;0.075378;,1758
CHST10,0.0032416,0.0095868,0.571442,356,0.86343,6,HGLibB_09605;HGLibA_09614;HGLibB_09603;HGLibA_09613;HGLibA_09612;HGLibB_09604;,0.92898;0.79788;1.0767;4.0719;0.71943;0.22879;,9486
PPIAL4G,0.0033851,0.0098424,0.574148,367,1.4561,2,HGLibA_37914;HGLibA_37915;,1.4561;2.34;,644591
IARS,0.0032895,0.0099026,0.574148,359,0.94516,6,HGLibA_22472;HGLibB_22441;HGLibA_22474;HGLibA_22473;HGLibB_22443;HGLibB_22442;,2.1154;1.5285;0.89949;0.99082;0.23519;0.12108;,3376
SLC16A13,0.0032953,0.0099026,0.574148,360,0.88683,5,HGLibB_44377;HGLibA_44428;HGLibA_44429;HGLibA_44430;HGLibB_44375;,0.90188;2.0446;0.87178;1.5464;0.46831;,201232
OR1J1,0.0033002,0.009903,0.574148,361,0.79886,4,HGLibA_33673;HGLibA_33674;HGLibB_33630;HGLibB_33629;,1.5905;2.8426;1.8883;0.00727;,347168
SP9,0.0033143,0.0099409,0.574148,362,0.8791,6,HGLibB_46262;HGLibA_46318;HGLibB_46263;HGLibA_46319;HGLibB_46261;HGLibA_46317;,1.0411;0.71711;1.143;1.1177;0.2834;0.2223;,100131390
METTL14,0.0033729,0.010115,0.574148,365,1.0612,5,HGLibB_28918;HGLibB_28916;HGLibA_28958;HGLibA_28959;HGLibB_28917;,1.1869;1.2006;1.2756;0.93563;0.20634;,57721
TRAPPC11,0.0033788,0.010115,0.574148,366,0.79115,6,HGLibA_51303;HGLibB_51240;HGLibA_51302;HGLibB_51241;HGLibA_51304;HGLibB_51239;,3.234;2.9071;1.2248;0.098086;0.35749;0.050998;,60684
HNRNPA1,0.0034423,0.01028,0.574148,372,0.98538,6,HGLibB_21762;HGLibB_21763;HGLibA_21793;HGLibA_21791;HGLibA_21792;HGLibB_21764;,1.9428;1.042;0.95337;0.77514;1.0174;0.053895;,3178
TMPRSS4,0.0034475,0.01028,0.574148,373,0.76664,5,HGLibA_50643;HGLibB_50583;HGLibA_50642;HGLibB_50582;HGLibB_50581;,0.99764;0.8715;1.2278;0.66178;0.34841;,56649
NUB1,0.0034888,0.010405,0.574148,377,1.088,4,HGLibB_32854;HGLibB_32855;HGLibA_32897;HGLibB_32853;,1.6046;1.1722;2.3449;1.0038;,51667
ASPDH,0.0035227,0.010458,0.574148,380,1.158,4,HGLibB_03343;HGLibA_03343;HGLibA_03344;HGLibB_03342;,2.9792;1.0564;1.9426;1.2596;,554235
LOC158434,0.003537,0.010458,0.574148,382,-0.7702,2,HGLibB_26861;HGLibA_26900;,3.1333;0.4496;,158434
NDN,0.0035491,0.010458,0.574148,384,0.73442,5,HGLibA_31398;HGLibA_31399;HGLibA_31397;HGLibB_31356;HGLibB_31357;,1.3333;1.0283;1.0427;0.44055;0.11499;,4692
CYB5D1,0.0035559,0.010458,0.574148,385,0.88026,5,HGLibA_11996;HGLibB_11983;HGLibB_11982;HGLibA_11994;HGLibB_11984;,1.7914;0.94954;0.84748;0.91303;0.51478;,124637
RHNO1,0.0035789,0.010545,0.574148,388,0.78539,5,HGLibA_41161;HGLibA_41160;HGLibA_41159;HGLibB_41108;HGLibB_41109;,1.5953;1.3398;1.3476;0.23098;0.079079;,83695
AVP,0.0035804,0.010546,0.574148,389,1.0806,5,HGLibA_03897;HGLibA_03898;HGLibB_03894;HGLibA_03896;HGLibB_03896;,1.8291;0.97421;1.187;1.2046;0.39361;,114548
RBM19,0.0036022,0.010663,0.574148,391,0.80445,5,HGLibA_40503;HGLibA_40504;HGLibB_40453;HGLibB_40451;HGLibB_40452;,0.79593;1.0253;1.4611;0.51424;0.81297;,9904
HOXA9,0.0036058,0.010663,0.574148,392,0.73085,4,HGLibA_21923;HGLibB_21893;HGLibB_21894;HGLibB_21895;,2.332;0.91617;1.251;0.54554;,3205
LRRCC1,0.0037176,0.010744,0.574148,401,0.73015,5,HGLibA_27443;HGLibB_27403;HGLibB_27402;HGLibA_27442;HGLibB_27404;,0.83759;0.81711;0.64319;1.2516;0.11634;,85444
PTPN3,0.0037186,0.010744,0.574148,402,0.81538,5,HGLibB_39416;HGLibA_39466;HGLibA_39465;HGLibB_39417;HGLibA_39467;,0.87199;1.0219;1.1994;0.58011;0.75877;,5774
RIF1,0.0038729,0.011414,0.595333,411,0.83432,6,HGLibA_41244;HGLibB_41192;HGLibA_41243;HGLibB_41191;HGLibB_41193;HGLibA_41245;,2.5944;1.2192;1.0364;0.63223;0.25626;0.4648;,55183
CT45A5,0.0044025,0.011524,0.598119,447,0.87066,2,HGLibA_11509;HGLibA_11510;,1.9725;0.87066;,441521
PSMG4,0.0039297,0.011587,0.598119,415,0.92377,6,HGLibB_39164;HGLibA_39213;HGLibA_39215;HGLibB_39165;HGLibB_39166;HGLibA_39214;,1.9527;1.6892;1.4043;0.44321;0.15769;0.06366;,389362
MC5R,0.0039378,0.011644,0.598119,416,0.75476,4,HGLibA_28553;HGLibB_28511;HGLibA_28554;HGLibA_28552;,3.4297;0.62914;0.88038;1.5504;,4161
TAF1,0.0040368,0.011751,0.598119,422,0.83429,6,HGLibB_48137;HGLibB_48136;HGLibA_48196;HGLibA_48195;HGLibA_48194;HGLibB_48135;,0.86449;0.8041;1.12;0.42226;1.6452;0.025471;,6872
HRASLS5,0.0041095,0.011863,0.598119,428,0.94005,5,HGLibB_22052;HGLibA_22081;HGLibA_22082;HGLibB_22053;HGLibB_22054;,1.4169;2.3304;1.4448;0.46322;0.28902;,117245
DEFB107B,0.011946,0.011891,0.598119,992,1.04,1,HGLibA_12841;,1.04;,503614
hsa-mir-6083,0.0041625,0.012023,0.598119,430,0.91331,3,HGLibA_62591;HGLibA_62592;HGLibA_62594;,2.1175;1.0944;0.7322;,102464832
hsa-mir-635,0.0043119,0.012138,0.598119,444,0.99322,3,HGLibA_62780;HGLibA_62778;HGLibA_62779;,1.2552;1.6397;0.73128;,693220
PRM1,0.0041829,0.012359,0.598119,431,1.3723,5,HGLibA_38608;HGLibB_38559;HGLibB_38560;HGLibA_38609;HGLibA_38607;,2.1331;1.1601;1.9345;0.42962;1.5846;,5619
ELP3,0.0042245,0.01236,0.598119,436,0.79695,5,HGLibA_14981;HGLibB_14960;HGLibA_14980;HGLibB_14959;HGLibB_14958;,1.427;1.1983;0.43725;0.52624;1.0676;,55140
MYRIP,0.0042858,0.012411,0.598119,441,0.71688,5,HGLibA_30918;HGLibB_30876;HGLibA_30920;HGLibB_30877;HGLibA_30919;,3.4455;0.80883;1.8167;0.62493;0.35322;,25924
SCYL1,0.0042901,0.012411,0.598119,442,0.82964,4,HGLibB_43031;HGLibB_43032;HGLibA_43086;HGLibB_43033;,1.324;1.1196;1.2288;0.53967;,57410
